Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
20/03/2026 12:13,3-1270,Sale,,10058,Americano,,,1.000,3.00,0.00,3.00,0.00,3.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 12:13,3-1270,Sale,,10201,Apple crumble,,custard,1.000,4.30,0.00,4.30,0.00,4.30,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:56,3-1269,Sale,Snacks,10205,Turnover bacon and cheese,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:56,3-1269,Sale,,10035,Sandwich,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:56,3-1269,Sale,,10159,Build a milkshake,,,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:18,3-1268,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:18,3-1268,Sale,Drinks fridge,10128,Trip,,,1.000,2.20,0.00,2.20,0.00,2.20,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 10:18,3-1268,Sale,,10011,Bacon bap,,Egg,1.000,7.00,0.00,7.00,0.00,7.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 16:58,3-1267,Sale,,10005,Hot chocolate,,,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 16:58,3-1267,Sale,Snacks,10180,Sausage roll,,,1.000,4.50,0.00,4.50,0.00,4.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 16:58,3-1267,Sale,,10003,Espresso,,,2.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 14:47,3-1266,Sale,,10035,Sandwich,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 14:47,3-1266,Sale,,10001,Cappuccino,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 14:22,3-1265,Sale,,10010,Sausage bap,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 14:22,3-1265,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 14:21,3-1264,Sale,,10001,Cappuccino,,,2.000,7.60,0.00,7.60,0.00,7.60,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:46,3-1263,Sale,Retail food,10033,Local Honey,,,1.000,9.00,0.00,9.00,0.00,9.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:46,3-1262,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:46,3-1262,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:14,3-1261,Sale,,10015,Misc,,,1.000,9.00,0.00,9.00,0.00,9.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:14,3-1261,Sale,,10010,Sausage bap,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:14,3-1261,Sale,,10005,Hot chocolate,,,2.000,7.00,0.00,7.00,0.00,7.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 13:07,3-1260,Sale,,10155,Iced cappuccino,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:40,3-1259,Sale,,10042,MYO sandwich,,,1.000,6.00,0.00,6.00,5.00,1.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:40,3-1259,Sale,Snacks,10205,Turnover bacon and cheese,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:40,3-1259,Sale,,10207,Sanbitter lemonade,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:37,3-1258,Sale,,10153,Iced latte,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:37,3-1258,Sale,Snacks,10025,Biscuits,,,1.000,1.00,0.00,1.00,0.00,1.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:37,3-1258,Sale,,10202,Crisps,,,1.000,1.00,0.00,1.00,0.00,1.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:37,3-1258,Sale,,10015,Misc,,,1.000,9.00,0.00,9.00,0.00,9.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 12:30,3-1257,Sale,,10003,Espresso,,,1.000,2.50,0.00,2.50,0.00,2.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
