Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Flapjack,10109,No category,3.000,10.50,0.000,0.00,0.00,10.50,0.00,10.50,100.00%,0.00
Flat white,10037,No category,353.000,1247.00,1.000,3.50,0.00,1243.50,1232.00,11.50,0.92%,0.00
Flat white,10248,Hot Drinks - Coffee,55.000,192.50,0.000,0.00,0.00,192.50,38.39,154.11,80.06%,0.00
Floater,10130,No category,2.000,7.60,0.000,0.00,0.00,7.60,0.00,7.60,100.00%,0.00
Frappé,10094,No category,29.000,116.75,1.000,4.50,0.00,112.25,0.00,112.25,100.00%,0.00
Friday deal,10183,No category,18.000,150.00,0.000,0.00,0.00,150.00,180.00,-30.00,-20.00%,0.00
Fruit cake,10080,No category,6.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Fruit shoot,10091,Drinks fridge,18.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
Gift basket,10195,Gifts,5.000,150.00,0.000,0.00,0.00,150.00,0.00,150.00,100.00%,0.00
Gift Indy & sky,10184,Gifts,4.000,65.00,0.000,0.00,0.00,65.00,0.00,65.00,100.00%,0.00
Gifts Claire J,10067,Gifts,2.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Gifts Clare,10065,Gifts,9.000,260.00,0.000,0.00,0.00,260.00,0.00,260.00,100.00%,0.00
Gifts Jane,10064,Gifts,17.000,490.00,0.000,0.00,0.00,490.00,0.00,490.00,100.00%,0.00
Gifts marcia cards,10134,Gifts,22.000,84.65,0.000,0.00,0.00,84.65,44.00,40.65,48.02%,0.00
Gifts person 3,10066,Gifts,12.000,85.50,0.000,0.00,0.00,85.50,0.00,85.50,100.00%,0.00
Gifts person 5,10068,Gifts,18.000,127.50,1.000,3.00,0.00,124.50,0.00,124.50,100.00%,0.00
Gifts Skillipigs cards,10084,Gifts,12.000,72.95,0.000,0.00,0.00,72.95,0.00,72.95,100.00%,0.00
Gifts what a melt 🫠,10185,Gifts,5.000,22.55,0.000,0.00,0.00,22.55,0.00,22.55,100.00%,0.00
Ginger beer,10142,Retail food,20.000,66.00,0.000,0.00,0.00,66.00,0.00,66.00,100.00%,0.00
Ginger beer,10166,No category,24.000,71.50,0.000,0.00,0.00,71.50,72.00,-0.50,-0.70%,0.00
Ginger beer,10166,Retail food,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Ham & Branston Pickle,10213,Sandwiches,23.000,117.00,0.000,0.00,0.00,117.00,28.75,88.25,75.43%,0.00
"Ham & Eggs, Penkey Style",10230,Penkey Meals,1.000,9.00,0.000,0.00,0.00,9.00,2.70,6.30,70.00%,0.00
"Ham, Cheese & Tomato",10226,Toasties,15.000,97.50,0.000,0.00,0.98,96.52,24.45,72.07,74.67%,0.00
"Ham, egg & pineapple",10218,Hot Baps,3.000,25.00,0.000,0.00,0.00,25.00,6.00,19.00,76.00%,0.00
Hampshire hog,10160,No category,20.000,240.00,0.000,0.00,0.00,240.00,0.00,240.00,100.00%,0.00
Hampshire hog salad,10162,No category,2.000,28.00,0.000,0.00,0.00,28.00,0.00,28.00,100.00%,0.00
Hogget bresaola,10020,Retail food,3.000,23.50,0.000,0.00,0.00,23.50,6.50,17.00,72.34%,0.00
"Hogs pudding, bacon, sausage and egg",10176,No category,4.000,36.00,0.000,0.00,0.00,36.00,0.00,36.00,100.00%,0.00
Honey/Horlicks milkshake,10152,No category,2.000,9.00,0.000,0.00,0.00,9.00,0.00,9.00,100.00%,0.00
Hot Brownie Chocolate with toasted marshmallows,10264,Penkey Indulgence,1.000,5.00,0.000,0.00,0.00,5.00,1.50,3.50,70.00%,0.00
Hot chocolate,10005,No category,225.000,837.50,3.000,10.50,5.08,821.92,0.00,821.92,100.00%,0.00
Hot Chocolate - Penkey mix,10263,Penkey Indulgence,34.000,130.70,0.000,0.00,0.00,130.70,38.76,91.94,70.34%,0.00
Hot cross buns,10097,No category,12.000,50.00,0.000,0.00,0.00,50.00,0.00,50.00,100.00%,0.00
Hot honey nuts,10124,Retail food,4.000,23.80,0.000,0.00,0.00,23.80,0.00,23.80,100.00%,0.00
Hot honey nuts,10124,Retail food,2.000,11.90,0.000,0.00,0.00,11.90,3.58,8.32,69.92%,0.00
Hot milkshake,10186,No category,6.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
"Hot Milkshake - Salted caramel, Pistachio Blondie, Vanilla Cloud",10265,Penkey Indulgence,2.000,8.40,0.000,0.00,0.00,8.40,2.52,5.88,70.00%,0.00
Houmous and Cucumber Salad,10215,Sandwiches,4.000,21.60,0.000,0.00,0.00,21.60,5.40,16.20,75.00%,0.00
Iced Americano,10154,No category,1.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Iced Americano,10267,Iced Drinks - Coffee,4.000,16.00,0.000,0.00,4.00,12.00,2.40,9.60,80.00%,0.00
Iced cappuccino,10155,No category,2.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
Iced Cappuccino,10268,Iced Drinks - Coffee,1.000,4.00,0.000,0.00,0.00,4.00,0.60,3.40,85.00%,0.00
Iced latte,10153,No category,33.000,132.00,0.000,0.00,0.00,132.00,0.00,132.00,100.00%,0.00
Iced Latte,10266,Iced Drinks - Coffee,27.000,113.90,0.000,0.00,0.00,113.90,17.01,96.89,85.07%,0.00
Iced Mocha Choca,10269,Iced Drinks - Coffee,1.000,4.40,0.000,0.00,0.00,4.40,0.66,3.74,85.00%,0.00
Iced tea,10111,No category,10.000,27.80,0.000,0.00,0.00,27.80,0.00,27.80,100.00%,0.00
iOW caprese,10163,No category,3.000,36.00,0.000,0.00,0.00,36.00,0.00,36.00,100.00%,0.00
IOW caprese focccacia,10177,No category,1.000,10.00,0.000,0.00,1.50,8.50,0.00,8.50,100.00%,0.00
Irish coffee with cream,10147,No category,1.000,5.50,0.000,0.00,0.00,5.50,0.00,5.50,100.00%,0.00
J20,10082,Drinks fridge,6.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Jammy Dodger,10090,No category,11.000,32.10,0.000,0.00,0.00,32.10,33.00,-0.90,-2.80%,0.00
JD nick,10141,No category,4.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
Keyrings,10003,No category,4.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
Kinda,10085,Snacks,55.000,63.00,2.000,3.00,0.00,60.00,53.00,7.00,11.67%,0.00
Late (Hot),10001,No category,43.000,154.00,2.000,7.00,0.00,147.00,0.00,147.00,100.00%,0.00
Latte,10083,No category,945.000,3561.20,7.000,27.40,26.23,3507.57,0.00,3507.57,100.00%,0.00
Latte 10oz,10244,Hot Drinks - Coffee,124.000,474.20,0.000,0.00,3.80,470.40,87.60,382.80,81.38%,0.00
Leek oil,10121,Retail food,1.000,5.95,0.000,0.00,0.00,5.95,0.00,5.95,100.00%,0.00
Lemon,10270,Fresh Lemonades,4.000,14.00,0.000,0.00,0.00,14.00,3.52,10.48,74.86%,0.00
Lemon and Mint,10273,Fresh Lemonades,1.000,3.75,0.000,0.00,0.56,3.19,0.94,2.25,70.53%,0.00
Lemon and raspberries,10271,Fresh Lemonades,1.000,3.80,0.000,0.00,0.00,3.80,0.95,2.85,75.00%,0.00
Lemon and Sanbitter Spritz,10272,Fresh Lemonades,1.000,4.00,0.000,0.00,0.00,4.00,1.00,3.00,75.00%,0.00
Lemon crumble slice,10165,No category,88.000,334.40,0.000,0.00,0.00,334.40,0.00,334.40,100.00%,0.00
Lemon crumble slice,10237,Bakes and Sweets,55.000,209.00,0.000,0.00,0.00,209.00,67.10,141.90,67.89%,0.00
Lemonaide rasp,10208,No category,2.000,7.60,0.000,0.00,0.00,7.60,0.00,7.60,100.00%,0.00
Lilliput capers,10125,Retail food,3.000,14.85,0.000,0.00,0.00,14.85,1.49,13.36,89.97%,0.00
Liz gifts,10057,Gifts,5.000,53.00,0.000,0.00,0.00,53.00,0.00,53.00,100.00%,0.00
Local Chutney,10032,Retail food,32.000,200.07,2.000,6.12,0.00,193.95,0.00,193.95,100.00%,0.00
Local Honey,10033,Retail food,22.000,204.00,1.000,8.00,2.70,193.30,0.00,193.30,100.00%,0.00
Local jam,10034,Retail food,18.000,100.60,0.000,0.00,0.00,100.60,0.00,100.60,100.00%,0.00
Machhiato ( Double espresso with a dab of foam),10241,Hot Drinks - Coffee,3.000,8.40,0.000,0.00,0.00,8.40,1.26,7.14,85.00%,0.00
Matcha,10023,No category,20.000,83.00,0.000,0.00,0.00,83.00,7.00,76.00,91.57%,0.00
Milkshake,10095,No category,185.000,774.50,4.000,17.00,7.50,750.00,0.00,750.00,100.00%,0.00
Millionaires,10087,No category,16.000,60.90,0.000,0.00,0.00,60.90,0.00,60.90,100.00%,0.00
Minty One Tea - 1 person,10258,Hot Drinks - Tea,4.000,12.00,0.000,0.00,0.00,12.00,1.80,10.20,85.00%,0.00
Misc,10015,No category,295.000,1137.12,6.000,28.30,0.00,1108.82,0.00,1108.82,100.00%,0.00
Misc,10015,No category,4.000,12.99,1.000,1.00,0.00,11.99,0.00,11.99,100.00%,0.00
Mixed chacuterie,10018,Retail food,7.000,48.50,1.000,7.50,0.00,41.00,0.00,41.00,100.00%,0.00
Mixed meat and cheese board,10070,No category,3.000,56.85,1.000,18.95,0.00,37.90,0.00,37.90,100.00%,0.00
Mocha,10002,No category,30.000,121.50,0.000,0.00,0.00,121.50,0.00,121.50,100.00%,0.00
Mocha,10249,Hot Drinks - Coffee,1.000,4.00,0.000,0.00,0.00,4.00,0.80,3.20,80.00%,0.00
Mulled and cake,10194,No category,2.000,11.00,0.000,0.00,0.00,11.00,0.00,11.00,100.00%,0.00
Mulled wine,10193,No category,2.000,7.00,0.000,0.00,0.00,7.00,0.00,7.00,100.00%,0.00
MYO sandwich,10042,No category,15.000,110.45,0.000,0.00,0.00,110.45,75.00,35.45,32.10%,0.00
Neil/damo,10126,No category,58.000,377.00,0.000,0.00,0.00,377.00,0.00,377.00,100.00%,0.00
Nettle yarg,10076,No category,1.000,2.50,0.000,0.00,0.00,2.50,0.00,2.50,100.00%,0.00
Nick,10136,Gifts,2.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
NYS Cookie,10059,No category,38.000,134.10,0.000,0.00,0.00,134.10,0.00,134.10,100.00%,0.00
Olives,10048,Snacks,10.000,50.00,0.000,0.00,0.00,50.00,0.00,50.00,100.00%,0.00
Olives - jar,10047,Retail food,1.000,5.00,0.000,0.00,0.00,5.00,0.00,5.00,100.00%,0.00
Oreo milkshake,10028,No category,1.000,5.80,0.000,0.00,0.00,5.80,0.00,5.80,100.00%,0.00
Pate,10197,No category,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
PENKEY BLTs,10040,No category,29.000,287.55,0.000,0.00,4.92,282.63,0.00,282.63,100.00%,0.00
Penkey bowl chic swama,10188,No category,1.000,12.00,0.000,0.00,1.80,10.20,0.00,10.20,100.00%,0.00
Penkey Hogs loaf with Egg,10221,Hot Baps,4.000,30.00,0.000,0.00,1.13,28.87,7.52,21.35,73.95%,0.00
Penkey Hogs pudding,10168,No category,22.000,165.00,2.000,15.00,0.00,150.00,0.00,150.00,100.00%,0.00
Penkey Hot Chocolate,10036,No category,12.000,66.00,0.000,0.00,0.00,66.00,0.00,66.00,100.00%,0.00
Penkey sale,10200,No category,1.000,5.00,0.000,0.00,0.00,5.00,0.00,5.00,100.00%,0.00
Pepsi max,10022,Drinks fridge,23.000,34.50,0.000,0.00,0.00,34.50,4.95,29.55,85.65%,0.00
Pickled pineapple,10119,Retail food,5.000,29.75,0.000,0.00,0.00,29.75,0.00,29.75,100.00%,0.00
Pigs in Blankets Nuts,10115,Retail food,5.000,29.75,0.000,0.00,0.00,29.75,0.00,29.75,100.00%,0.00
"Ploughman’s - Ham, Cheese and sway chutney",10214,Sandwiches,7.000,42.00,0.000,0.00,0.00,42.00,10.50,31.50,75.00%,0.00
Pot of tea for 2,10146,No category,36.000,180.00,0.000,0.00,5.00,175.00,0.00,175.00,100.00%,0.00
Prochecco,10191,No category,1.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Quiche,10187,No category,2.000,14.00,0.000,0.00,0.00,14.00,0.00,14.00,100.00%,0.00
Retail tea ☕,10199,Retail food,6.000,24.50,0.000,0.00,0.00,24.50,0.00,24.50,100.00%,0.00
Rio,10009,Drinks fridge,18.000,27.00,0.000,0.00,0.00,27.00,1.80,25.20,93.33%,0.00
Rocky Road,10093,No category,14.000,53.00,0.000,0.00,0.00,53.00,0.00,53.00,100.00%,0.00
Root beer,10005,No category,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Sale,10014,No category,3.000,6.70,0.000,0.00,0.00,6.70,0.00,6.70,100.00%,0.00
Sanbitter lemonade,10207,No category,3.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
Sandwich,10035,No category,61.000,449.40,1.000,7.00,0.00,442.40,0.00,442.40,100.00%,0.00
Sanpalagrino,10108,Drinks fridge,48.000,120.50,0.000,0.00,0.00,120.50,0.00,120.50,100.00%,0.00
Sausage & bacon bap,10012,No category,58.000,417.50,1.000,5.50,0.00,412.00,0.00,412.00,100.00%,0.00
Sausage and bacon bap plus drink,10030,No category,14.000,102.50,0.000,0.00,16.00,86.50,0.00,86.50,100.00%,0.00
Sausage bacon and egg,10096,No category,4.000,33.00,0.000,0.00,0.00,33.00,0.00,33.00,100.00%,0.00
Sausage bap,10010,No category,104.000,611.00,0.000,0.00,0.00,611.00,0.00,611.00,100.00%,0.00
Sausage Bap,10223,Hot Baps,23.000,143.00,0.000,0.00,0.00,143.00,37.90,105.10,73.50%,0.00
Sausage Loaf and Onion Chutney,10227,Toasties,6.000,40.00,0.000,0.00,0.00,40.00,9.78,30.22,75.55%,0.00
Sausage roll,10180,Snacks,16.000,115.60,0.000,0.00,0.00,115.60,0.00,115.60,100.00%,0.00
